Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
3234,16-Jan-08,Fitzwilliam Square East,4,Setting up event,23-Jan-08,23-Jan-08,164.00
3235,17-Jan-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,21-Jan-08,25-Jan-08,190.00
3236,17-Jan-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,28-Jan-08,01-Feb-08,190.00
3237,17-Jan-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,04-Feb-08,08-Feb-08,190.00
3238,18-Jan-08,Hatch Street,12,Coach Parking,09-Feb-08,09-Feb-08,492.00
3239,21-Jan-08,Ringsend Road,3,Emergency (Waterworks),21-Jan-08,21-Jan-08,100.20
3240,21-Jan-08,Fitzwilliam Square East,4,Setting up event,22-Jan-08,22-Jan-08,164.00
3241,21-Jan-08,Fitzwilliam Square East,4,Setting up event,24-Jan-08,24-Jan-08,164.00
3242,21-Jan-08,Fitzwilliam Square East,4,Setting up event,25-Jan-08,25-Jan-08,164.00
3243,22-Jan-08,Drumcondra Road Lower (Outside Perky Chick),4,FM104 Roadhog,06-Feb-08,06-Feb-08,101.20
3244,22-Jan-08,Merrion Square,2,Parking Hoist - Decorating 84 Merrion Square,23-Jan-08,24-Jan-08,164.00
3245,23-Jan-08,Fitzwilliam Square (East Gate),4,Work Vans - deliveries etc.,24-Jan-08,25-Jan-08,328.00
3246,23-Jan-08,Fitzwilliam Square (East Gate),13,De-rig event,28-Jan-08,29-Jan-08,"1,066.00"
3247,23-Jan-08,Clarendon Row,4,Parking of Vehicles for Outside Broadcast,17-Feb-08,17-Feb-08,164.00
3248,24-Jan-08,Poolbeg Street (Outside Dept. of Health & Children),4,Health & Safety (To remove glass from 7th floor of Dept. of Health & Children),25-Jan-08,26-Jan-08,328.00
3249,24-Jan-08,Merrion Road (Outside Spar),3,Radio (Outside Broadcast),25-Jan-08,25-Jan-08,123.00
3250,24-Jan-08,St. Stephens Green,3,Radio (Outside Broadcast),25-Jan-08,25-Jan-08,123.00
3251,24-Jan-08,No 7 Sandymount Green Dublin 4,3,Position of Pump and Builders Trucks,15-Oct-07,14-Dec-07,"2,508.00"
3252,28-Jan-08,Fitzwilliam Square East,13,De-rig event,28-Jan-08,29-Jan-08,"1,066.00"
3253,28-Jan-08,Upper Pembroke Street,3,Office removal,02-Feb-08,02-Feb-08,123.00
3254,30-Jan-07,Arran Street East,2,Generator truck,31-Jan-08,31-Jan-08,82.00
3255,01-Feb-08,Chantham Street,4,Filming,02-Feb-08,02-Feb-08,164.00
3256,04-Feb-08,York Street,2,Dublin City Council Learning Bus,05-Feb-08,05-Feb-08,82.00
3257,05-Feb-08,Clarendon Row,4,Parking of Vehicles for Outside Broadcast,16-Feb-08,16-Feb-08,164.00
3258,05-Feb-08,Clarendon Street,2,Parking of Vehicles for Outside Broadcast,17-Feb-08,17-Feb-08,82.00
3259,06-Feb-08,Camden Row,1,Station Upgrading,01-Feb-08,31-Mar-08,"2,460.00"
3260,07-Feb-08,St. Stephens Green (Outside Top Shop),3,St. Patrick's Festival,10-Mar-08,12-Mar-08,0.00
3261,07-Feb-08,Nassau Street,3,St. Patrick's Festival,13-Mar-08,14-Mar-08,0.00
3262,07-Feb-08,Castle Street (off City Hall as part of Treasue Hunt Event),3,St. Patrick's Festival,15-Mar-08,15-Mar-08,0.00
3263,07-Feb-08,College Green,3,St. Patrick's Festival,17-Mar-08,17-Mar-08,0.00
3264,07-Feb-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,11-Feb-08,15-Feb-08,190.00
3265,07-Feb-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,18-Feb-08,22-Feb-08,190.00
3266,07-Feb-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,25-Feb-08,29-Feb-08,190.00
3267,07-Feb-08,No 7 Sandymount Green Dublin 4,2,Position of Pump and Builders Trucks,03-Mar-08,07-Mar-08,190.00
3268,08-Feb-08,Molesworth Street,2,Coach,11-Feb-08,11-Feb-08,82.00
3269,12-Feb-08,Stephens Green North,4,Outside Broadcast,13-Feb-08,13-Feb-08,164.00
3270,14-Feb-08,Guild Street (junction of seville pl. & Upr Sheriff St.),6,Road works,13-Feb-08,13-Aug-08,0.00
3271,14-Feb-08,Chatham Street,2,IFTA Awards,17-Feb-08,17-Feb-08,82.00
3272,19-Feb-08,Pembroke Street Upper,1,Allow trucks to park beside oil tanker which is to be drained and cleaned,21-Feb-08,21-Feb-08,41.00
3273,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,26-Feb-08,26-Feb-08,133.60
3274,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,27-Feb-08,27-Feb-08,133.60
3275,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,22-May-08,22-May-08,133.60
3276,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,23-May-08,23-May-08,133.60
3277,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,01-Jun-08,01-Jun-08,133.60
3278,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,06-Jun-08,06-Jun-08,133.60
3279,19-Feb-08,Merrion Road (Outside Paddy Cullens),4,FM104 Roadhog,28-Jun-08,28-Jun-08,133.60
3280,21-Feb-08,"Main Street, Donnybrook (Outside Dublin Balloon Company)",4,Broadcast,22-Feb-08,22-Feb-08,133.60
3281,28-Feb-08,Stephens Green North,4,Outside Broadcast,29-Feb-08,29-Feb-08,164.00
3282,04-Mar-08,Nassau Street,3,Outside Broadcast,07-Mar-08,07-Mar-08,123.00
3283,04-Mar-08,St. Stephens Green North,4,Outside Broadcast,05-Mar-08,05-Mar-08,164.00
3284,05-Mar-08,Temple Street (Infront of the Hospital),3,98FM Care 4 Kids Radiothon,07-Mar-08,07-Mar-08,0.00
3285,07-Mar-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,10-Mar-08,04-Apr-08,760.00
3286,27-Mar-08,Lower Grangegorman,4,T.D.'s and HSE Dignitaries for the Celebration of 30 years since founding of the service,02-Apr-08,02-Apr-08,0.00
3287,13-Mar-08,Palace Street (Off Dame Street opposite the Olympia),4,FM104 Roadhog,06-Apr-08,06-Apr-08,164.00
3288,13-Mar-08,St. Stephens Green (Front of Dandeloin Bar),2,Park one single deck bus,17-Mar-08,17-Mar-08,82.00
3289,13-Mar-08,Smithfield (front of Irish Distillers Carpark),4,Caravan Art work for St. Patricks Festival in association with DCC,15-Mar-08,15-Mar-08,0.00
3290,13-Mar-08,Nassau Street,3,Outside Broadcast,15-Mar-08,15-Mar-08,123.00
3291,14-Mar-08,St. Stephens Green (Front of Dandeloin Bar),1,Park one single deck bus,17-Mar-08,17-Mar-08,41.00
3292,26-Mar-08,Kevin Street,5,Delivery of Exhibition Installation,31-Mar-08,31-Mar-08,205.00
3293,26-Mar-08,Camden Row,1,Parking for ESB Vans during Station Uprating,01-Apr-08,30-Apr-08,"1,230.00"
3294,26-Mar-08,Lombard Street West,6,Film Crew Parking,27-Mar-08,27-Mar-08,200.30
3295,26-Mar-08,Arnott Street,3,Film Crew Parking,27-Mar-08,27-Mar-08,100.30
3296,26-Mar-08,Emorville Avenue,6,Film Crew Parking,27-Mar-08,27-Mar-08,200.40
3297,26-Mar-08,Ovoca Road,5,Film Crew Parking,27-Mar-08,27-Mar-08,167.00
3298,26-Mar-08,North Wall Quay,30,Film Crew Parking,27-Mar-08,27-Mar-08,"1,002.00"
3299,28-Mar-08,York Street,4,Mobile Skills Unit Van (Training Purpose),02-Apr-08,02-Apr-08,164.00
3300,31-Mar-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,07-Apr-08,11-Apr-08,190.00
3301,31-Mar-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,14-Apr-08,18-Apr-08,190.00
3302,31-Mar-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,21-Apr-08,25-Apr-08,190.00
3303,31-Mar-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,28-Apr-08,02-May-08,190.00
3304,01-Apr-08,St. Stephens Green (Outside TGI Fridays),2,Mini Bus,07-Apr-08,07-Apr-08,0.00
3305,01-Apr-08,Fitzwilliam Place (Outside 39 Fitzwilliam Place),4,FM104 Roadhog,23-Apr-08,23-Apr-08,164.00
3306,01-Apr-08,Baggot Street (Outside Bank of Ireland),4,FM104 Roadhog,03-Apr-08,03-Apr-08,164.00
3307,02-Apr-08,Merrion Road (Outside Spar opposite RDS),3,Broadcast,11-Apr-08,11-Apr-08,100.20
3308,02-Apr-08,Great Strand Street,2,Office Relocation,05-Apr-08,05-Apr-08,82.00
3309,02-Apr-08,Ormond Quay Lower,2,Office Relocation,05-Apr-08,05-Apr-08,82.00
3310,02-Apr-08,Clonmel Street,10,Facilitate build up of an event being held.,10-Jun-08,14-Jun-08,"1,230.00"
3311,07-Apr-08,Nassau Street (Outside Celtic Note),4,FM104 Roadhog,10-Apr-08,10-Apr-08,164.00
3312,01-Apr-08,Nassau Street (Outside Celtic Note),4,FM104 Roadhog,19-Apr-08,19-Apr-08,164.00
3313,09-Apr-08,Merrion Road (Outside Spar opposite RDS),3,Broadcast,10-Apr-08,10-Apr-08,100.20
3314,09-Apr-08,Leeson Street Upper,2,Household Relocation,10-Apr-08,11-Apr-08,164.00
3315,09-Apr-08,St Stephens Green South,3,Broadcast,18-Apr-08,18-Apr-08,123.00
3316,14-Apr-08,Fishamble Street,6,Filming Commerical,16-Apr-08,17-Apr-08,492.00
3317,14-Apr-08,Cathedral Street,2,State Funeral,15-Apr-08,16-Apr-08,0.00
3318,15-Apr-08,St Stephens Green North (Near Shelbourne Hotel),3,Broadcast,18-Apr-08,18-Apr-08,123.00
3319,15-Apr-08,Kevin Street Lower,4,To load an Exhibition onto a truck,17-Apr-08,17-Apr-08,164.00
3320,15-Apr-08,Thomas Street (Across the Road from Mini & Minors),4,FM104 Roadhog,01-May-08,01-May-08,133.60
3321,16-Apr-08,Nassau Street (outside Celtic Note),3,Broadcast,17-Apr-08,17-Apr-08,123.00
3322,17-Apr-08,D'Olier Street,3,Fundraising,20-Oct-08,31-Oct-08,0.00
3323,22-Apr-08,Thomas Street (Outside Vicar Street),4,FM104 Roadhog,17-May-08,17-May-08,133.60
3324,22-Apr-08,Donnybrook Road (Outside Ulster Bank),3,Broadcast,25-Apr-08,25-Apr-08,100.20
3325,22-Apr-08,King's Inn Street,18,To park trucks to facilitate filming for RTE Series,27-Apr-08,28-Apr-08,738.00
3326,23-Apr-08,"North Strand Road, just south of Annesley Bridge (Inbound Site)",13,Site compund for works on the Malahide QBC Enhancements Scheme,07-May-08,07-Jul-08,0.00
3327,24-Apr-08,Drumcondra Road Upper (Outside Hessions),4,FM104 Roadhog,09-May-08,09-May-08,76.00
3328,24-Apr-08,Baggot Street Lower (Outside Bank of Ireland),4,FM104 Roadhog,30-May-08,30-May-08,164.00
3329,24-Apr-08,Simmonscourt Road,4,FM104 Roadhog,27-Jun-08,27-Jun-08,133.60
3330,24-Apr-08,Drumcondra Road (Outside Quinns Pub),4,FM104 Roadhog,24-May-08,24-May-08,101.20
3331,24-Apr-08,Drumcondra Road (Outside Quinns Pub),4,FM104 Roadhog,16-Jun-08,16-Jun-08,101.20
3332,24-Apr-08,Palace Street,4,Entrance/Egress for concert,03-May-08,05-May-08,328.00
3333,24-Apr-08,Molesworth Street (Outside No. 16),2,Loading,26-Apr-08,26-Apr-08,82.00
3334,24-Apr-08,Camden Row,7,To park trucks to facilitate filming for RTE Series,29-Apr-08,29-Apr-08,410.00
3335,24-Apr-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,29-Apr-08,01-May-08,492.00
3336,29-Apr-08,North Great Georges Street,5,Filming,30-Apr-08,30-Apr-08,167.00
3337,29-Apr-08,Emor Street,10,To park trucks to facilitate filming for RTE Series,30-Apr-08,02-May-08,879.00
3338,29-Apr-08,Emor Street,10,To park trucks to facilitate filming for RTE Series,07-May-08,08-May-08,879.00
3339,29-Apr-08,Camden Row,5,To park trucks to facilitate filming for RTE Series,30-Apr-08,30-Apr-08,205.00
3340,29-Apr-08,Heytesbury Street,5,To park trucks to facilitate filming for RTE Series,30-Apr-08,30-Apr-08,205.00
3341,29-Apr-08,Stephens Green (Near Shelbourne Hotel),3,Broadcast,06-May-08,06-May-08,123.00
3342,29-Apr-08,Jamestown Road,5,Reconstruction of footpath,29-Apr-08,27-May-08,0.00
3343,29-Apr-08,Drury Street,5,Film Vehicles,01-May-08,01-May-08,205.00
3344,29-Apr-08,Wexford Street,4,Film Vehicles,02-May-08,02-May-08,164.00
3345,29-Apr-08,Montague Street,2,Film Vehicles,02-May-08,02-May-08,82.00
3346,29-Apr-08,Camden Row,4,Film Vehicles,02-May-08,02-May-08,164.00
3347,29-Apr-08,Killeen Road,2,Film Vehicles,02-May-08,02-May-08,50.60
3348,29-Apr-08,Belgrave Road,5,Film Vehicles,02-May-08,02-May-08,126.50
3349,29-Apr-08,John Street West,3,To park tarmac truck,13-May-08,13-May-08,100.20
3350,29-Apr-08,Clonmel Street,5,Delivery of sculptures for exhibition in Iveagh Garden,10-May-08,10-May-08,205.00
3351,30-Apr-08,No 7 Sandymount Green Dublin 4,2,Company Lorry,05-May-08,30-May-08,836.00
3352,13-May-08,Guild Street,All,For construction of scheme,19-May-08,31-Dec-08,0.00
3353,01-May-08,Drumcondra Road Lower,4,Outside Broadcast,06-May-08,06-May-08,101.20
3354,01-May-08,Ballsbridge Terrace,4,Outside Broadcast,23-May-08,23-May-08,101.20
3355,01-May-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,06-May-08,06-May-08,164.00
3356,01-May-08,Camden Street,3,To park trucks to facilitate filming for RTE Series,06-May-08,06-May-08,123.00
3357,01-May-08,Grantham Street,7,To park trucks to facilitate filming for RTE Series,06-May-08,06-May-08,287.00
3358,01-May-08,Montague Place,2,Position of Site Office,06-May-08,07-Jun-08,"1,968.00"
3359,06-May-08,St. Stephens Green North,10,Promotion,12-May-08,12-May-08,"2,000.00"
3360,08-May-08,Stephens Green (Near Shelbourne Hotel),3,Broadcast,15-May-08,15-May-08,123.00
3361,08-May-08,Chatham Street,1,Filming,10-May-08,10-May-08,41.00
3362,08-May-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,16-May-08,16-May-08,164.00
3363,08-May-08,Nassau Street (Outside Celtic Note),4,FM104 Roadhog,16-May-08,16-May-08,164.00
3364,08-May-08,Shelbourne Road (Outside Ballsbridge College),4,FM104 Roadhog,16-Jun-08,16-Jun-08,164.00
3365,09-May-08,Drumcondra Road (Outside Quinns Pub),4,FM104 Roadhog,01-Jun-08,01-Jun-08,101.20
3366,13-May-08,New Cabra Road,2,Information Mobile Unit,14-May-08,14-May-08,50.60
3367,13-May-08,Yarnhall Street,6,Film Vehicles,20-May-08,20-May-08,246.00
3368,13-May-08,Henrietta Street,5,Film Vehicles,20-May-08,20-May-08,205.00
3369,13-May-08,Mary Street,3,Film Vehicles,20-May-08,20-May-08,123.00
3370,13-May-08,Wolfe Tone Street,7,Film Vehicles,20-May-08,20-May-08,287.00
3371,13-May-08,North Great Georges Street,10,Film Vehicles,22-May-08,23-May-08,820.00
3372,13-May-08,Denmark Street Great,10,Film Vehicles,22-May-08,23-May-08,820.00
3373,13-May-08,Grenville Street,15,Film Vehicles,22-May-08,23-May-08,"1,002.00"
3374,13-May-08,Merrion Square North,8,Film Vehicles,23-May-08,23-May-08,328.00
3375,13-May-08,Frederick Street South,5,Film Vehicles,24-May-08,24-May-08,410.00
3376,13-May-08,Mountjoy Square East,8,Film Vehicles,30-May-08,30-May-08,267.20
3377,13-May-08,Grenville Street,15,Film Vehicles,30-May-08,30-May-08,501.00
3378,13-May-08,Little Britain Street,8,Film Vehicles,30-May-08,30-May-08,328.00
3379,13-May-08,Capel Street,5,Film Vehicles,30-May-08,30-May-08,205.00
3380,14-May-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,19-May-08,23-May-08,820.00
3381,14-May-08,South Anne Street,4,Off loading furniture for offices,19-May-08,20-May-08,328.00
3382,19-May-08,Merrion Square North,20,Film Vehicles,24-May-08,24-May-08,820.00
3383,19-May-08,Clanwilliam Place,20,Film Vehicles,21-May-08,21-May-08,820.00
3384,19-May-08,Fenian Street,10,Film Vehicles,21-May-08,21-May-08,410.00
3385,19-May-08,Anglesea Road,3,Broadcast,20-May-08,20-May-08,100.20
3386,22-May-08,Parnell Square West,3,Drainage Digging,25-May-08,25-May-08,123.00
3387,23-May-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,27-May-08,28-May-08,328.00
3388,23-May-08,South Anne Street,4,Off loading of furniture,27-May-08,28-May-08,328.00
3389,27-May-08,Merton Avenue,2,Parking of Filming Vehicles,05-Jun-08,05-Jun-08,50.60
3390,27-May-08,Wolseley Street,2,Parking of Filming Vehicles,05-Jun-08,05-Jun-08,50.60
3391,27-May-08,Bloomfield Avenue,4,Film Vehicles,28-May-08,28-May-08,133.60
3392,27-May-08,Windsor Terrace,4,Film Vehicles,28-May-08,28-May-08,101.20
3393,27-May-08,Portebello Road,3,Film Vehicles,28-May-08,28-May-08,75.90
3394,28-May-08,Stephens Green,2,Marshell's Office for the Exhibition,26-Jun-08,29-Jun-08,0.00
3395,28-May-08,Stephens Green,2,Marshell's Office for the Exhibition,22-Aug-08,24-Aug-08,0.00
3396,28-May-08,Stephens Green,2,Marshell's Office for the Exhibition,19-Sep-08,21-Sep-08,0.00
3397,29-May-08,Lower Mount Street,2,Removal,30-May-08,30-May-08,82.00
3398,29-May-08,Pembroke Street,2,Removal,30-May-08,30-May-08,38.00
3399,30-May-08,Burlington Road,20,Film Vehicles,03-Jun-08,03-Jun-08,820.00
3400,30-May-08,St. Stephens Green North,4,Bikes delivery & pick up for the Charity Bloomsday Bike Rally,12-Jun-08,12-Jun-08,0.00
3401,30-May-08,Morehampton Road,2,Deliveries for Shop Fit Out,09-Jun-08,13-Jun-08,334.00
3402,30-May-08,Merrion Square West,4,FM104 Roadhog,16-Jun-08,16-Jun-08,62.80
3403,30-May-08,St. Stephens Green West,5,Filming Vehicles,04-Jun-08,04-Jun-08,205.00
3404,30-May-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,03-Jun-08,03-Jun-08,164.00
3405,30-May-08,Inchicore Road,6,Film Vehicles,06-Jun-08,06-Jun-08,114.00
3406,30-May-08,Fitzwilliam Street Upper,3,Film Vehicles,07-Jun-08,07-Jun-08,123.00
3407,03-Jun-08,No. 7 Sandymount Green Dublin 4,2,Company Lorry,02-Jun-08,27-Jun-08,836.00
3408,06-Jun-08,Merrion Square South (East End),9,Portakabin for festival equipment,10-Jun-08,13-Jun-08,0.00
3409,06-Jun-08,Merrion Square East (Outside car park entrance),10,Loading and unloading of equipment into Merrion Park,13-Jun-08,16-Jun-08,0.00
3410,30-May-08,Morehampton Road,2,Deliveries for Shop Fit Out,16-Jun-08,20-Jun-08,334.00
3411,30-May-08,Morehampton Road,2,Deliveries for Shop Fit Out,23-Jun-08,27-Jun-08,334.00
3412,30-May-08,Morehampton Road,2,Deliveries for Shop Fit Out,30-Jun-08,04-Jul-08,334.00
3413,30-May-08,Morehampton Road,2,Deliveries for Shop Fit Out,07-Jul-08,11-Jul-08,334.00
3414,06-Jun-08,Fitzwilliam Square East,7,Outside Broadcast,12-Jun-08,12-Jun-08,287.00
3415,06-Jun-08,St. Stephens Green North,7,Outside Broadcast,14-Jun-08,14-Jun-08,287.00
3416,09-Jun-08,Swift Row,6,Recording Television Programme,10-Jun-08,10-Jun-08,246.00
3417,09-Jun-08,Deverell Place (Of Gardiner Street),4,Delivery to a Building Site & Safety,11-Jun-08,11-Jun-08,164.00
3418,10-Jun-08,Palace Street,1,Live TV news report via satellite truck,12-Jun-08,13-Jun-08,82.00
3419,10-Jun-08,Portobello Road,15,To park trucks to facilitate filming for RTE production on South Circular Road,12-Jun-08,16-Jun-08,759.00
3420,10-Jun-08,Emor Street,10,To park trucks to facilitate filming for RTE production on South Circular Road,12-Jun-08,16-Jun-08,668.00
3421,10-Jun-08,Grantham Street,7,To park trucks to facilitate filming for RTE,12-Jun-08,12-Jun-08,287.00
3422,10-Jun-08,Camden Street,5,To facilitate filming for RTE,12-Jun-08,12-Jun-08,205.00
3423,11-Jun-08,Merrion Square West,4,FM104 Roadhog,14-Jun-08,14-Jun-08,164.00
3424,11-Jun-08,Merrion Square West (Outside the National Museum),4,FM104 Roadhog,15-Jun-08,15-Jun-08,164.00
3425,24-Jun-08,Drury Street,3,Panda Waste Shredding Truck,07-Jul-08,07-Jul-08,123.00
3426,12-Jun-08,Camden Street,5,To facilitate filming for RTE,16-Jun-08,16-Jun-08,205.00
3427,12-Jun-08,Grantham Street,7,To facilitate filming for RTE,16-Jun-08,16-Jun-08,287.00
3428,16-Jun-08,Georges Quay,12,Filming of commercial,17-Jun-08,17-Jun-08,492.00
3429,18-Jun-08,Pembroke Street,2,Removal and Relocation of Office,20-Jun-08,20-Jun-08,82.00
3430,18-Jun-08,St Stephens Green,3,Outside Broadcast,19-Jun-08,19-Jun-08,123.00
3431,18-Jun-08,Dolphin Avenue,8,Filming,25-Jun-08,25-Jun-08,152.00
3432,18-Jun-08,Haymarket,8,Filming,23-Jun-08,23-Jun-08,267.20
3433,18-Jun-08,Bow Street,8,Filming,23-Jun-08,23-Jun-08,267.20
3434,18-Jun-08,Deverell Place,4,Deliveries to site,02-Jul-08,02-Jul-08,164.00
3435,18-Jun-06,Deverell Place,4,Deliveries to site,20-Jun-08,20-Jun-08,164.00
3436,18-Jun-08,Deverell Place,4,Deliveries to site,23-Jun-08,23-Jun-08,164.00
3437,20-Jun-08,Merrion Square East,5,Facilitate removal truck,25-Jun-08,25-Jun-08,205.00
3438,20-Jun-08,North Strand Road,13,Site compound,07-Jul-08,31-Oct-08,0.00
3439,24-Jun-08,Drury Street,3,Panda Waste Shredding Truck,08-Jul-08,09-Jul-08,246.00
3440,25-Jun-08,Simmonscourt Road,4,FM104 Roadhog,26-Jun-08,26-Jun-08,133.60
3441,25-Jun-08,Merrion Road (Outside Paddy Cullens),4,Outside Broadcast,28-Jun-08,28-Jun-08,133.60
3442,25-Jun-08,Fishamble Street (Nearest Lord Edward Street),5,"To service Christ Church location as an overspill zone for buses , trucks and vans.",30-Jul-08,31-Jul-08,410.00
3443,26-Jun-08,Merrion Square,1,Minister/Tanaiste Mary Coughlan,01-Jul-08,01-Jul-08,41.00
3444,26-Jun-08,Merville Avenue,4,Outside Broadcast,27-Jun-08,27-Jun-08,76.00
3445,27-Jun-08,North Great Georges Street,1,Film Vehicle,03-Jul-08,03-Jul-08,41.00
3446,27-Jun-08,No. 7 Sandymount Green Dublin 4,2,Company Lorry,02-Jun-08,27-Jun-08,380.00
3447,27-Jun-08,Earlsfort Terrace,3,Moving Office,01-Jul-08,04-Jul-08,410.00
3448,27-Jun-08,Sir John Rogersons Quay,3,Moving Office,04-Jul-08,04-Jul-08,205.00
3449,01-Jul-08,No. 7 Sandymount Green Dublin 4,2,Company Lorry,01-Jul-08,03-Jul-08,114.00
3450,03-Jul-08,Deverell Place,4,Deliveries to site,03-Jul-08,03-Jul-08,164.00
3451,03-Jul-08,North Great Georges Street,2,Film Vehicle,03-Jul-08,03-Jul-08,82.00
3452,04-Jul-08,St. Stephens Green North (Outside Topshop),4,Outside Broadcast,07-Jul-08,07-Jul-08,164.00
3453,07-Jul-08,Mary Street (between Capel Street and Wolfe tone Street),12,To facilitate laying of new water mains,07-Jul-08,07-Aug-08,0.00
3454,07-Jul-08,Morehampton Road,2,Deliveries for Shop Fit-Out,12-Jul-08,20-Jul-08,467.60
3455,07-Jul-08,Wolfe Tone Street,3,Site Compound,07-Jul-08,01-Oct-08,0.00
3456,08-Jul-08,Earlsfort Terrace,3,Moving Office,08-Jul-08,11-Jul-08,492.00
3457,08-Jul-08,Cumberland Street South,2,Filming,14-Jul-08,14-Jul-08,82.00
3458,08-Jul-08,Merton Avenue,2,Filming,16-Jul-08,16-Jul-08,50.60
3459,08-Jul-08,Deverell Place,4,Deliveries to site,11-Jul-08,11-Jul-08,164.00
3460,09-Jul-08,Mountainview Road,3,Removal,10-Jul-08,11-Jul-08,151.80
3461,16-Jul-08,Drury Street,3,Panda Waste Shredding Truck,21-Jul-08,21-Jul-08,123.00
3462,22-Jul-08,Dolphin Avenue,8,Parking of Filming Vehicles,07-Aug-08,07-Aug-08,152.00
3463,23-Jul-08,Hume Street (corner of Ely Place),2,Photoshoot for Client,24-Jul-08,25-Jul-08,164.00
3464,24-Jul-08,Marlborough Road,2,Moving,01-Aug-08,02-Aug-08,133.60
3465,24-Jul-08,No. 7 Sandymount Green Dublin 4,2,Company Lorry,21-Jul-08,14-Aug-08,798.00
3466,28-Jul-08,Strand Street Great,7,Compound for Site Storage for Capel Street,28-Jul-08,30-Sep-08,0.00
3467,31-Jul-08,Burgh Quay,10,To facilitate filming,08-Aug-08,08-Aug-08,410.00
3468,07-Aug-08,Cook Street,6,Site Compound,11-Aug-08,11-Feb-09,0.00
3469,07-Aug-08,Thomas Street,4,Outside Broadcast,08-Aug-08,08-Aug-08,133.60
3470,11-Aug-08,Inchicore Road,10,To service Filmset,13-Aug-08,13-Aug-08,190.00
3471,11-Aug-08,Fishamble Street,5,Set Area for Film Location @ Christ Church,20-Aug-08,21-Aug-08,410.00
3472,12-Aug-08,Inchicore Road,21,To service Filmset,25-Aug-08,27-Aug-08,"1,197.00"
3473,13-Aug-08,Parnell Square,4,Parking of Parade Floats and access,31-Aug-08,31-Aug-08,0.00
3474,13-Aug-08,St. Stephens Green East,4,Parking of Parade Floats and access,31-Aug-08,31-Aug-08,0.00
3475,13-Aug-08,Clonmel Street,2,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,29-Aug-08,29-Aug-08,82.00
3476,13-Aug-08,Clonmel Street,4,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,30-Aug-08,01-Sep-08,492.00
3477,13-Aug-08,Clonmel Street,2,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,02-Sep-08,02-Sep-08,82.00
3478,13-Aug-08,Clonmel Street,1,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,03-Sep-08,05-Sep-08,123.00
3479,13-Aug-08,Clonmel Street,4,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,22-Sep-08,24-Sep-08,492.00
3480,13-Aug-08,Clonmel Street,2,Safe loading during de-rig of Dublin Festival Event in the Iveagh Gardens,25-Sep-08,25-Sep-08,82.00
3481,13-Aug-08,Hatch Street,1,Required for Mobile Ticket Office for duration of Dublin Festival Event in the Iveagh Gardens,01-Sep-08,22-Sep-08,902.00
3482,14-Aug-08,St. Stephens Green South,7,Outside Broadcast,15-Aug-08,15-Aug-08,287.00
3483,14-Aug-08,Georges Place,2,Dorset Street Improvement Scheme,13-Aug-08,31-May-09,0.00
3484,14-Aug-08,Deverell Place,4,Deliveries to site,15-Aug-08,15-Aug-08,164.00
3485,15-Aug-08,No. 7 Sandymount Green Dublin 4,2,Company Lorry,18-Aug-08,12-Sep-08,437.00
3486,19-Aug-08,Parnell Square East,4,FM104 Roadhog,19-Sep-08,19-Sep-08,164.00
3487,22-Aug-08,Baggot Street Upper,4,Outside Broadcast,25-Aug-08,25-Aug-08,164.00
3488,22-Aug-08,Lad Lane,3,Delivery of belongings to new home,30-Aug-08,30-Aug-08,123.00
3489,22-Aug-08,Haymarket/ Smithfield,5,Filming,25-Aug-08,25-Aug-08,205.00
