Id,Date,Location of Spaces,No of Spaces,Purpose,Date Suspended,Date Expired,Amount Paid
1473,18-May-06,Stephens Green,4,Roadhog,22-May-06,22-May-06,152.00
1474,18-May-06,Opposite Connoly Station,4,Roadhog,23-May-06,23-May-06,121.60
1475,18-May-06,Fairview Strand,4,Roadhog,26-May-06,26-May-06,76.00
1476,18-May-06,Stephens Green,4,Roadhog,27-May-06,27-May-06,152.00
1477,18-May-06,Princes Street,4,To allow traffic to flow while loading,22-May-06,26-May-06,608.00
1478,18-May-06,"138-144, Pearse Street, 3",3,Park Vintage Bus for DCC,20-May-06,20-May-06,0.00
1479,18-May-06,St. Stephens Green (Outside Habitat),3,Park Vintage Bus,20-May-06,20-May-06,0.00
1480,18-May-06,Wolfe Tone Street,2,Essentials For Market,13-Jun-06,19-Jun-06,532.00
1481,31-May-06,South William Street,4,Concrete Delivery & Concrete pumping,01-Jun-06,01-Jun-06,152.00
1482,01-Jun-06,Fitzwilliam Street Lower,2,Office Furniture Removal,07-Jun-06,07-Jun-06,76.00
1483,01-Jun-06,Princes Street,4,To allow traffic to flow while loading,06-Jun-06,09-Jun-06,608.00
1484,19-May-06,Shelbourne Road,4,Access to Site,22-May-06,30-Jun-06,"5,168.00"
1485,19-May-06,Stephens Green,2,Mars Hell's Office for the Exhibition,22-Jun-06,25-Jun-06,0.00
1486,19-May-06,Castle Street,6,Filming,22-May-06,23-May-06,456.00
1487,19-May-06,Castle Street,4,Filming,23-May-06,24-May-06,304.00
1488,19-May-06,Cook Street,12,Filiming,21-May-06,23-May-06,"1,368.00"
1489,19-May-06,Fishamble Street,3,Filming,22-May-06,23-May-06,304.00
1490,19-May-06,Inchicore Road,20,Filming,24-May-06,24-May-06,380.00
1491,19-May-06,Werburgh Road,3,Filming,23-May-06,24-May-06,228.00
1492,22-May-06,Cook Street,22,Filming,21-May-06,22-May-06,760.00
1493,22-May-06,Mercer Street,2,To Allow Pedestrian Access,22-May-06,02-Jun-06,988.00
1494,23-May-06,Shelbourne Road,4,Roadhog,24-May-06,24-May-06,152.00
1495,23-May-06,Shelbourne Road,2,Loading and Unloading,23-May-06,23-Jun-06,729.60
1496,23-May-06,Cathedral Street,2,Broadcast,02-Jun-06,04-Jun-06,228.00
1497,23-May-06,Lower Fitzwilliam Street,6,Photocall with Minister Dick Roche,24-May-06,24-May-06,228.00
1498,23-May-06,Princes Street,4,To allow traffic to flow freely,22-May-06,26-May-06,760.00
1499,23-May-06,Inchicore Road,4,Filming,24-May-06,24-May-06,76.00
1500,24-May-06,Inchicore Road,24,Filming,25-May-06,25-May-06,456.00
1501,25-May-06,Merrion Road (Outside Paddy Cullens),4,Roadhog,30-May-06,30-May-06,152.00
